timestamp,site_id,generation_mwh
2024-01-01 00:00:00,SOLAR-01,0.0
2024-01-01 01:00:00,SOLAR-01,0.0
2024-01-01 02:00:00,SOLAR-01,0.0
2024-01-01 03:00:00,SOLAR-01,0.0
2024-01-01 04:00:00,SOLAR-01,0.0
2024-01-01 05:00:00,SOLAR-01,0.0
2024-01-01 06:00:00,SOLAR-01,0.0
2024-01-01 07:00:00,SOLAR-01,0.0
2024-01-01 08:00:00,SOLAR-01,0.0
2024-01-01 09:00:00,SOLAR-01,5.82
2024-01-01 10:00:00,SOLAR-01,11.78
2024-01-01 11:00:00,SOLAR-01,16.46
2024-01-01 12:00:00,SOLAR-01,16.38
2024-01-01 13:00:00,SOLAR-01,15.25
2024-01-01 14:00:00,SOLAR-01,11.31
2024-01-01 15:00:00,SOLAR-01,5.69
2024-01-01 16:00:00,SOLAR-01,0.0
2024-01-01 17:00:00,SOLAR-01,0.0
2024-01-01 18:00:00,SOLAR-01,0.0
2024-01-01 19:00:00,SOLAR-01,0.0
2024-01-01 20:00:00,SOLAR-01,0.0
2024-01-01 21:00:00,SOLAR-01,0.0
2024-01-01 22:00:00,SOLAR-01,0.0
2024-01-01 23:00:00,SOLAR-01,0.0
2024-01-02 00:00:00,SOLAR-01,0.0
2024-01-02 01:00:00,SOLAR-01,0.0
2024-01-02 02:00:00,SOLAR-01,0.0
2024-01-02 03:00:00,SOLAR-01,0.0
2024-01-02 04:00:00,SOLAR-01,0.0
2024-01-02 05:00:00,SOLAR-01,0.0
2024-01-02 06:00:00,SOLAR-01,0.0
2024-01-02 07:00:00,SOLAR-01,0.0
2024-01-02 08:00:00,SOLAR-01,0.0
2024-01-02 09:00:00,SOLAR-01,4.5
2024-01-02 10:00:00,SOLAR-01,8.41
2024-01-02 11:00:00,SOLAR-01,11.97
2024-01-02 12:00:00,SOLAR-01,12.51
2024-01-02 13:00:00,SOLAR-01,12.22
2024-01-02 14:00:00,SOLAR-01,9.51
2024-01-02 15:00:00,SOLAR-01,4.07
2024-01-02 16:00:00,SOLAR-01,0.0
2024-01-02 17:00:00,SOLAR-01,0.0
2024-01-02 18:00:00,SOLAR-01,0.0
2024-01-02 19:00:00,SOLAR-01,0.0
2024-01-02 20:00:00,SOLAR-01,0.0
2024-01-02 21:00:00,SOLAR-01,0.0
2024-01-02 22:00:00,SOLAR-01,0.0
2024-01-02 23:00:00,SOLAR-01,0.0
2024-01-03 00:00:00,SOLAR-01,0.0
2024-01-03 01:00:00,SOLAR-01,0.0
2024-01-03 02:00:00,SOLAR-01,0.0
2024-01-03 03:00:00,SOLAR-01,0.0
2024-01-03 04:00:00,SOLAR-01,0.0
2024-01-03 05:00:00,SOLAR-01,0.0
2024-01-03 06:00:00,SOLAR-01,0.0
2024-01-03 07:00:00,SOLAR-01,0.0
2024-01-03 08:00:00,SOLAR-01,0.0
2024-01-03 09:00:00,SOLAR-01,4.55
2024-01-03 10:00:00,SOLAR-01,9.97
2024-01-03 11:00:00,SOLAR-01,13.86
2024-01-03 12:00:00,SOLAR-01,13.27
2024-01-03 13:00:00,SOLAR-01,12.78
2024-01-03 14:00:00,SOLAR-01,10.07
2024-01-03 15:00:00,SOLAR-01,4.82
2024-01-03 16:00:00,SOLAR-01,0.0
2024-01-03 17:00:00,SOLAR-01,0.0
2024-01-03 18:00:00,SOLAR-01,0.0
2024-01-03 19:00:00,SOLAR-01,0.0
2024-01-03 20:00:00,SOLAR-01,0.0
2024-01-03 21:00:00,SOLAR-01,0.0
2024-01-03 22:00:00,SOLAR-01,0.0
2024-01-03 23:00:00,SOLAR-01,0.0
2024-01-04 00:00:00,SOLAR-01,0.0
2024-01-04 01:00:00,SOLAR-01,0.0
2024-01-04 02:00:00,SOLAR-01,0.0
2024-01-04 03:00:00,SOLAR-01,0.0
2024-01-04 04:00:00,SOLAR-01,0.0
2024-01-04 05:00:00,SOLAR-01,0.0
2024-01-04 06:00:00,SOLAR-01,0.0
2024-01-04 07:00:00,SOLAR-01,0.0
2024-01-04 08:00:00,SOLAR-01,0.0
2024-01-04 09:00:00,SOLAR-01,4.56
2024-01-04 10:00:00,SOLAR-01,9.33
2024-01-04 11:00:00,SOLAR-01,11.99
2024-01-04 12:00:00,SOLAR-01,12.31
2024-01-04 13:00:00,SOLAR-01,10.51
2024-01-04 14:00:00,SOLAR-01,8.5
2024-01-04 15:00:00,SOLAR-01,4.16
2024-01-04 16:00:00,SOLAR-01,0.0
2024-01-04 17:00:00,SOLAR-01,0.0
2024-01-04 18:00:00,SOLAR-01,0.0
2024-01-04 19:00:00,SOLAR-01,0.0
2024-01-04 20:00:00,SOLAR-01,0.0
2024-01-04 21:00:00,SOLAR-01,0.0
2024-01-04 22:00:00,SOLAR-01,0.0
2024-01-04 23:00:00,SOLAR-01,0.0
2024-01-05 00:00:00,SOLAR-01,0.0
2024-01-05 01:00:00,SOLAR-01,0.0
2024-01-05 02:00:00,SOLAR-01,0.0
2024-01-05 03:00:00,SOLAR-01,0.0
2024-01-05 04:00:00,SOLAR-01,0.0
2024-01-05 05:00:00,SOLAR-01,0.0
2024-01-05 06:00:00,SOLAR-01,0.0
2024-01-05 07:00:00,SOLAR-01,0.0
2024-01-05 08:00:00,SOLAR-01,0.0
2024-01-05 09:00:00,SOLAR-01,5.03
2024-01-05 10:00:00,SOLAR-01,10.38
2024-01-05 11:00:00,SOLAR-01,13.29
2024-01-05 12:00:00,SOLAR-01,15.03
2024-01-05 13:00:00,SOLAR-01,14.4
2024-01-05 14:00:00,SOLAR-01,10.81
2024-01-05 15:00:00,SOLAR-01,5.16
2024-01-05 16:00:00,SOLAR-01,0.0
2024-01-05 17:00:00,SOLAR-01,0.0
2024-01-05 18:00:00,SOLAR-01,0.0
2024-01-05 19:00:00,SOLAR-01,0.0
2024-01-05 20:00:00,SOLAR-01,0.0
2024-01-05 21:00:00,SOLAR-01,0.0
2024-01-05 22:00:00,SOLAR-01,0.0
2024-01-05 23:00:00,SOLAR-01,0.0
2024-01-06 00:00:00,SOLAR-01,0.0
2024-01-06 01:00:00,SOLAR-01,0.0
2024-01-06 02:00:00,SOLAR-01,0.0
2024-01-06 03:00:00,SOLAR-01,0.0
2024-01-06 04:00:00,SOLAR-01,0.0
2024-01-06 05:00:00,SOLAR-01,0.0
2024-01-06 06:00:00,SOLAR-01,0.0
2024-01-06 07:00:00,SOLAR-01,0.0
2024-01-06 08:00:00,SOLAR-01,0.0
2024-01-06 09:00:00,SOLAR-01,5.72
2024-01-06 10:00:00,SOLAR-01,10.02
2024-01-06 11:00:00,SOLAR-01,14.07
2024-01-06 12:00:00,SOLAR-01,15.76
2024-01-06 13:00:00,SOLAR-01,13.63
2024-01-06 14:00:00,SOLAR-01,10.14
2024-01-06 15:00:00,SOLAR-01,5.12
2024-01-06 16:00:00,SOLAR-01,0.0
2024-01-06 17:00:00,SOLAR-01,0.0
