month,fill_rate
2024-01,1.0
2024-02,0.955034561391007
2024-03,0.8702814088139365
2024-04,0.8775280720926181
2024-05,0.854782622134986
2024-06,0.8666348810484364
2024-07,0.8658532865639774
2024-08,0.8382614479258542
2024-09,0.8563803701971876
2024-10,0.8283141625717187
2024-11,0.7912716807451915
2024-12,0.8330362448009507
2025-01,0.864920081720947
2025-02,0.9201019895404887
2025-03,0.8836012004001333
2025-04,0.8854817000989184
2025-05,0.8625412438523314
2025-06,0.8487592614371399
2025-07,0.8613614455987882
2025-08,0.8640958757557909
2025-09,0.862107507904993
2025-10,0.8490615259985446
2025-11,0.7880219684421584
2025-12,0.8008016279213171
